Layer 1			
phi	   kx	          ky	            kz
0.26413	901.42585	270.42776	493.73127
0.31158	991.75794	297.52738	543.20820
0.32416	987.03192	296.10958	540.61965
0.30682	893.81256	268.14377	489.56130
0.30112	911.37083	273.41125	499.17836
0.28986	822.04705	246.61412	450.25371
0.27298	822.29097	246.68729	450.38731
0.22386	643.03345	192.91004	352.20393
0.23433	621.64350	186.49305	340.48817
0.22568	700.05550	210.01665	383.43619
0.20195	534.88797	160.46639	292.97021
0.18741	422.87105	126.86132	231.61601
0.18183	483.64261	145.09278	264.90197
0.19166	550.59149	165.17745	301.57138
0.24246	683.94794	205.18438	374.61371
0.21286	611.16832	183.35050	334.75068
0.27427	739.38357	221.81507	404.97706
0.28019	855.10008	256.53002	468.35760
0.25968	976.45962	292.93789	534.82896
0.27021	1018.76884	305.63065	558.00267
0.28798	1069.25291	320.77587	585.65394
0.28009	1051.06085	315.31826	575.68974
0.27754	859.45686	257.83706	470.74391
0.33190	1037.98502	311.39551	568.52781
0.32846	1001.17155	300.35147	548.36424
0.29997	945.93100	283.77930	518.10775
0.28131	781.44858	234.43457	428.01701
0.27388	766.19427	229.85828	419.66189
0.23393	644.56883	193.37065	353.04489
0.23361	590.96846	177.29054	323.68676
0.21646	591.13305	177.33992	323.77691
0.22632	589.87257	176.96177	323.08651
0.19707	469.91505	140.97452	257.38307
0.19871	522.42030	156.72609	286.14138
0.18188	546.76960	164.03088	299.47804
0.22977	638.55484	191.56645	349.75089
0.21329	512.79981	153.83994	280.87202
0.25790	723.88000	217.16400	396.48540
0.26593	876.55507	262.96652	480.10898
0.25723	862.82070	258.84621	472.58636
0.27082	1039.59728	311.87918	569.41088
0.28911	982.73250	294.81975	538.26476
0.35520	1086.55506	325.96652	595.13072
0.30307	921.69939	276.50982	504.83555
0.30677	963.87783	289.16335	527.93763
0.34997	1050.64277	315.19283	575.46075
0.31304	970.82725	291.24818	531.74398
0.31480	898.12776	269.43833	491.92483
0.26965	699.26653	209.77996	383.00405
0.25648	684.83611	205.45083	375.10019
0.21559	479.58709	143.87613	262.68067
0.22095	498.13522	149.44057	272.83990
0.24299	614.50518	184.35155	336.57835
0.21702	463.29493	138.98848	253.75708
0.19846	500.61045	150.18314	274.19564
0.19373	567.49056	170.24717	310.82738
0.20802	546.51030	163.95309	299.33602
0.22555	610.49434	183.14830	334.38152
0.22739	660.19077	198.05723	361.60138
0.24216	783.42144	235.02643	429.09759
0.26920	911.41253	273.42376	499.20120
0.28577	989.49960	296.84988	541.97125
0.32079	1008.58509	302.57553	552.42480
0.34889	1132.10372	339.63112	620.07874
0.34502	1047.21444	314.16433	573.58297
0.32317	1074.56906	322.37072	588.56571
0.32876	1004.90485	301.47146	550.40905
0.30667	953.51467	286.05440	522.26149
0.29484	809.06551	242.71965	443.14343
0.26058	662.70932	198.81280	362.98084
0.24590	591.67371	177.50211	324.07304
0.23344	549.93650	164.98095	301.21263
0.21326	495.37366	148.61210	271.32733
0.26300	635.29113	190.58734	347.96328
0.23472	561.97885	168.59366	307.80849
