Layer 2			
phi	   kx	           ky	         kz
0.26775	675.30229	202.59069	369.87830
0.30703	722.36620	216.70986	395.65626
0.26354	947.06629	284.11989	518.72957
0.21471	822.13841	246.64152	450.30375
0.21026	818.55414	245.56624	448.34057
0.21515	805.95139	241.78542	441.43776
0.22588	760.95472	228.28642	416.79207
0.23373	670.31526	201.09458	367.14679
0.21111	598.20222	179.46067	327.64885
0.20341	625.21712	187.56514	342.44552
0.19910	724.96834	217.49050	397.08151
0.22489	841.45399	252.43620	460.88333
0.25002	907.80720	272.34216	497.22648
0.24060	980.12954	294.03886	536.83906
0.24509	948.96115	284.68835	519.76743
0.26624	962.16063	288.64819	526.99708
0.25458	948.37126	284.51138	519.44433
0.25138	855.32364	256.59709	468.48005
0.21145	674.01692	202.20508	369.17427
0.20652	520.35903	156.10771	285.01238
0.21768	642.20070	192.66021	351.74781
0.27677	625.39578	187.61873	342.54338
0.27393	983.15038	294.94511	538.49364
0.28355	1034.06658	310.21997	566.38159
0.20939	772.56821	231.77046	423.15304
0.19673	721.83210	216.54963	395.36372
0.22686	756.06014	226.81804	414.11119
0.22367	718.53250	215.55975	393.55646
0.22755	641.31410	192.39423	351.26220
0.22240	642.90368	192.87110	352.13285
0.22378	735.65421	220.69626	402.93441
0.22198	831.81641	249.54492	455.60461
0.23221	823.94345	247.18304	451.29241
0.23937	946.38777	283.91633	518.35793
0.22419	1011.12049	303.33615	553.81350
0.25662	1072.72345	321.81704	587.55483
0.25354	970.64032	291.19210	531.64160
0.23709	896.54793	268.96438	491.05953
0.23242	830.20154	249.06046	454.72011
0.20468	659.35450	197.80635	361.14333
0.22116	602.27105	180.68132	329.87744
0.21039	500.17019	150.05106	273.95450
0.26120	1008.41088	302.52326	552.32939
0.26808	1073.53816	322.06145	588.00107
0.26639	986.01334	295.80400	540.06175
0.22084	714.87547	214.46264	391.55342
0.19772	590.37856	177.11357	323.36365
0.23062	639.08785	191.72636	350.04283
0.24163	696.51494	208.95448	381.49694
0.24978	625.66810	187.70043	342.69253
0.24767	716.31371	214.89411	392.34118
0.23861	750.88450	225.26535	411.27638
0.24204	889.71470	266.91441	487.31681
0.22376	847.16642	254.14993	464.01216
0.22360	940.08306	282.02492	514.90470
0.25720	1053.25142	315.97543	576.88956
0.25860	1143.97731	343.19319	626.58218
0.23296	928.20832	278.46250	508.40063
0.24052	896.94512	269.08354	491.27708
0.22012	762.97632	228.89290	417.89934
0.19769	595.74054	178.72216	326.30053
0.23035	551.32093	165.39628	301.97091
0.24658	803.40302	241.02091	440.04196
0.26739	933.26600	279.97980	511.17084
0.27090	950.27148	285.08144	520.48513
0.25577	881.73158	264.51947	482.94428
0.23258	663.86445	199.15934	363.61353
0.23525	604.41331	181.32399	331.05080
0.26445	559.74985	167.92496	306.58762
0.22897	616.91702	185.07511	337.89937
0.24557	626.47569	187.94271	343.13487
0.24640	664.03479	199.21044	363.70683
0.26929	852.05624	255.61687	466.69042
0.26089	917.75615	275.32685	502.67575
0.24723	1020.53122	306.15937	558.96797
0.22057	1029.51544	308.85463	563.88883
0.26403	1108.78286	332.63486	607.30538
0.24656	1080.85031	324.25509	592.00610
0.22946	926.06071	277.81821	507.22434
0.21952	904.96117	271.48835	495.66765
0.21537	719.91897	215.97569	394.31586
0.19303	552.02527	165.60758	302.35669
0.24761	782.79469	234.83841	428.75431
0.22443	791.84879	237.55464	433.71344
0.26170	908.44367	272.53310	497.57509
0.26531	885.66933	265.70080	485.10107
0.28051	895.95162	268.78549	490.73291
0.25863	675.37630	202.61289	369.91883
0.26798	652.72327	195.81698	357.51126
0.26982	557.34391	167.20317	305.26983
0.23101	603.22656	180.96797	330.40079
0.25117	636.19097	190.85729	348.45615
0.23687	675.81241	202.74372	370.15770
0.25859	891.24188	267.37256	488.15328
0.26413	892.30880	267.69264	488.73766
0.24869	1048.88146	314.66444	574.49604
0.25688	1096.46684	328.94005	600.55962
0.26710	1160.20096	348.06029	635.46824
0.23311	1106.73559	332.02068	606.18405
0.22623	845.62511	253.68753	463.16795
0.21184	799.16998	239.75099	437.72343
0.22404	817.95513	245.38654	448.01248
0.24876	801.48679	240.44604	438.99239
0.24195	812.49374	243.74812	445.02115
0.24915	813.31660	243.99498	445.47185
0.27564	939.39862	281.81959	514.52981
0.27069	861.32915	258.39875	471.76940
0.28600	818.78945	245.63684	448.46945
0.25947	650.05327	195.01598	356.04884
0.25947	564.51473	169.35442	309.19745
0.27585	564.00687	169.20206	308.91929
0.21902	500.04375	150.01313	273.88524
0.21749	494.67783	148.40335	270.94621
0.21995	624.53212	187.35964	342.07033
0.26065	828.36848	248.51054	453.71610
0.24898	930.77914	279.23374	509.80873
0.22061	955.41889	286.62567	523.30448
